catalog_id	title_zh	intro_url
SCD2093	Internet時光機	https://chiuinan.github.io/game/game/intro/ch/c44/easygo.htm
SCD1150	Iris鳶尾花物語	https://chiuinan.github.io/game/game/intro/ch/c22/iris.htm
3WZ005	Jewel	https://chiuinan.github.io/game/game/intro/eng/e44/jewel.htm
	KataGo	https://chiuinan.github.io/game/game/intro/eng/e41/katago.htm
	KataGomo	https://chiuinan.github.io/game/game/intro/ch/c41/katagomo.htm
SCD2269	kefir護兒優酪乳 教玩遊戲光碟：英文系列	https://chiuinan.github.io/game/game/intro/ch/c44/kefire.htm
	Leela	https://chiuinan.github.io/game/game/intro/eng/e41/leela.htm
	Leela Zero	https://chiuinan.github.io/game/game/intro/eng/e41/leelaz.htm
SCD2138	LIS太空號數學歷險	https://chiuinan.github.io/game/game/intro/eng/e44/lisma.htm
SCD0461	MISS阿性李勉之的世紀大富翁	https://chiuinan.github.io/game/game/intro/ch/c43/century.htm
SCD2211	NBA 2K12	https://chiuinan.github.io/game/game/intro/ch/c52/nba2k12.htm
SCD0676	NBA內線進攻2000	https://chiuinan.github.io/game/game/intro/eng/e52/nid2000.htm
SCD0677	NBA全場緊迫盯人	https://chiuinan.github.io/game/game/intro/eng/e52/nfcp.htm
SCD0678	NBA灌籃奇兵	https://chiuinan.github.io/game/game/intro/eng/e52/nbaht.htm
	NTest	https://chiuinan.github.io/game/game/intro/eng/e41/ntest.htm
	Nyet	https://chiuinan.github.io/game/game/intro/eng/e44/nyet.htm
	Nyet 3: The Revenge of the Mutant Stones	https://chiuinan.github.io/game/game/intro/eng/e44/nyet3.htm
SCD1120	P2K總統大選	https://chiuinan.github.io/game/game/intro/ch/c43/p2k.htm
	Pango	https://chiuinan.github.io/game/game/intro/eng/e44/pango.htm
SCD1864	PC拉力賽	https://chiuinan.github.io/game/game/intro/eng/e52/pcrally.htm
	PC魔術方塊	https://chiuinan.github.io/game/game/intro/eng/e44/cubulus.htm
SCD0382	QQ三國志	https://chiuinan.github.io/game/game/intro/ch/c32/qq.htm
SCD0028	Q女天使學園	https://chiuinan.github.io/game/game/intro/ch/c31/mtj.htm
SSG013	RS-2	https://chiuinan.github.io/game/game/intro/ch/c51/rs2.htm
SCD1710	SODA越野賽車	https://chiuinan.github.io/game/game/intro/eng/e52/soda.htm
SCD2094	Sound it out！說的容易：字母篇	https://chiuinan.github.io/game/game/intro/ch/c44/snditout.htm
	Shift!	https://chiuinan.github.io/game/game/intro/ch/c22/shift.txt
