cdg-0125	VR機車賽	'Cyberbykes: Shadow Racer VR'	1995	Artificial Software
cdg-0126	VR終極戰警1／	VR戰警1 Vritua Cop	1996	SEGA
cdg-0127	VR終極戰警2／	VR戰警2 Vritua Cop 2	1997	SEGA
cdg-0128	VR網球96	Virtual Tennis	1996	Digital Dreams
cdg-0129	WIN麻將	NET	1999	捷友
cdg-0130	Xian 3.0		1990	Leong Jacobs
cdg-0131	X少年事件簿	Diet Go Go	2001	Animedia
cdg-0132	X摩托2000	Edgar Torronteras' Moto-X 2000	2000	Deibus
cdg-0133	X檔案	The X-Files Game	1998	HyperBole
cdg-0134	YES!HG		1995	姬屋
cdg-0135	Yes！封神榜		2002	十乾科技
cdg-0136	Young Guns大富翁		1999	頂尖拍檔
cdg-0137	Z字特攻隊／	Z字特工隊 Z	1996	Bitmap Brothers
cdg-0138	ㄅㄆㄇ妙妙國(一)：ㄅㄆㄇ列車		1997	華友
cdg-0139	一九八九年中日圍棋擂臺賽		1993	星式
cdg-0140	一休和尚：自然攻略集		1997	草莓軟體
cdg-0141	一級方程式賽車96	Formula 1	1997	Bizarre Creations
cdg-0142	一級方程式賽車97	Formula 1 97	1998	Bizarre Creations
cdg-0143	一級方程式賽車99	Formula one 99	1999	Studio 33
cdg-0144	一級方程式賽車車隊經理	Racing Team Manager	2009	destraX
cdg-0145	一線生機	Danger Zone	1995	宏申
cdg-0146	一起五子棋		2021	業餘工作室
cdg-0147	一起翻轉棋		2020	業餘工作室
cdg-0148	一路狂飆	NASCAR Challenge|Bill Elliott's NASCAR Challenge	1991	DSI
cdg-0149	丁丁在西藏	Tintin in Tibet	1996	Infograms
cdg-0150	丁丁歷險記	'Tintin: Destination Adventure'	2001	Infogrames
cdg-0151	丁丁歷險記：太陽之罪	太陽的囚徒|'Tintin: Prisoners of the Sun'	1997	Infograms
cdg-0152	七大王朝1	七國演義1|七王國1|七個王國1|Seven Kingdoms	1997	Enlight
cdg-0153	七大王朝2：凡爾坦戰役	七國演義2：群魔亂舞|七王國2|七個王國2|'Seven Kingdoms 2: The Fryhtan Wars'	1999	Enlight
cdg-0154	七大王朝3：征服	'Seven Kingdoms: Conquest'	2008	Enlight
cdg-0155	七寶奇謀	The Goonies	1986	Konami
cdg-0156	七寶奇謀		1996	岡業
cdg-0157	七年戰爭1	Seven Years War	1998	HQ Team
cdg-0158	七年戰爭2：決戰王朝	決戰王朝2|英雄戰爭|Seven Years War 2	2001	HQ Team
cdg-0159	七星魔法使	Sorcerian Original	2002	Falcom
cdg-0160	七海爭霸	'Admiral: Sea Battles'	1997	Meridian'93
cdg-0161	七笑拳		1990	大宇
cdg-0162	七英雄外傳：王者之師		1997	天堂鳥
cdg-0163	七英雄物語1	Nanaei|七英雄物语	1995	姬屋
cdg-0164	七英雄物語2	Nanaei 2	1996	姬屋
cdg-0165	八女神物語		1994	天堂鳥
cdg-0166	八女神物語2		1996	天堂鳥
cdg-0167	八年抗戰	The War of Resistance Against Japan	2001	尼奧
cdg-0168	八球豪華版	Eight Ball Deluxe	1993	Amtex
cdg-0169	八龍神傳說	The Legend of Eight Dragons	1998	Mips
cdg-0170	公主奇緣		2010	工畫堂
cdg-0171	公主幻想曲：破解封印石		2001	火狗工房
cdg-0172	公主戰記	Princess Quest R	1999	AIC
cdg-0173	公元2140	西元2140|地球2140|Earth 2140	1997	TopWare
cdg-0174	公元2150	西元2150|地球2150|'Earth 2150: Escape from the Blue Planet'	2000	SSI
cdg-0175	公元2160	西元2160|地球2160|Earth 2160	2005	Reality Pump
cdg-0176	公路爭霸戰1：州際風暴	Interstate '76	1997	Activision
cdg-0177	公路爭霸戰2	Interstate '82	1999	Activision
cdg-0178	公路狂飆	Carnage	1993	Warped Minds
cdg-0179	北方傳記	'Konung: Legend of the North'	1999	1C
cdg-0180	北極特快車	The Polar Express	2004	Blue Tongue
cdg-0181	北非雄獅	Desert Rats vs. Afrika Korps|Afrika Korps vs. Desert Rat	2004	Digital Reality
cdg-0182	十三支局	第13支局|Bureau 13	1995	Take 2
cdg-0183	十六張姬麻將		1995	松詮
cdg-0184	十六張麻將寫真館		2001	智冠
cdg-0185	十面埋伏：索利諾大陸戰史	Ambush at Sorinor	1993	Mindcraft
cdg-0186	千變少女米娜		1995	新潮館
cdg-0187	午夜地下街頭飆車賽	'Midnight Outlaw: Illegal Street Drag'	2002	Canopy
cdg-0188	午夜檯球王	午夜3|D台球 Friday Night 3D Pool	2003	AI Factory
cdg-0189	午夜狂飆	長夜狂飆|Midnight Racing|'Midnight Racer: Long Night'	1999	Avanquest
cdg-0190	午夜鏢王3	D Friday Night 3D Darts	2003	AI Factory
cdg-0191	卒業：	Graduation	1995	JHV
cdg-0192	卒業	畢業生：|Next Graduation	2005	IRI
cdg-0193	卒業：戀愛篇		1997	JHV
cdg-0194	卒業2：	Neo Generation	1997	JHV
cdg-0195	卒業旅行		1997	JANIS
cdg-0196	南宋英烈傳		1992	聯邦
cdg-0197	南方公園大飆車	South Park Rally	2000	Tantalus
cdg-0198	南方四賤客	南方公園|南部公園|South Park	1999	Iguana
cdg-0199	南極冰怪	Prisoner of Ice	1995	Infogrames
cdg-0200	博比教你國際象棋	Bobby Fischer Teaches Chess	1994	Mission Studios
cdg-0201	三姊妹		1996	JAST
cdg-0202	三界諭：邦沛之謎	三界谕-邦沛之迷	1993	第三波
cdg-0203	三界諭2：真愛不死		1998	大點科技
cdg-0204	三國之星海風雲	三國之星海爭霸|三國志之星海爭霸|'Three Kingdoms: Divine Destiny'	1997	Dong Seo
cdg-0205	三國之星海風雲2	Three Kingdoms 2	2001	東西遊戲頻道
cdg-0206	三國大老二		2003	大正
cdg-0207	三國孔明傳	孔明傳	2003	第三波,光譜
cdg-0208	三國封神	Saga of Cathay	2002	樂陞
cdg-0209	三國志：風雲再起		1996	KOEI
cdg-0210	三國志1	Romance Of The Three Kingdoms	1988	KOEI
cdg-0211	三國志2	Romance Of The Three Kingdoms 2|三国志II	1991	KOEI
cdg-0212	三國志3	Romance Of The Three Kingdoms 3	1993	KOEI
cdg-0213	三國志4	Romance Of The Three Kingdoms 4|三国志IV	1994	KOEI
cdg-0214	三國志5	Romance Of The Three Kingdoms 5|三国志V	1996	KOEI
cdg-0215	三國志6	Romance Of The Three Kingdoms 6	1998	KOEI
cdg-0216	三國志7	Romance Of The Three Kingdoms 7	2000	KOEI
cdg-0217	三國志8	Romance Of The Three Kingdoms 8	2001	KOEI
cdg-0218	三國志9	Romance Of The Three Kingdoms 9	2003	KOEI
cdg-0219	三國志10	Romance Of The Three Kingdoms 10	2004	KOEI
cdg-0220	三國志11	Romance Of The Three Kingdoms 11	2006	KOEI
cdg-0221	三國志12	Romance Of The Three Kingdoms 12	2012	KOEI
cdg-0222	三國志13	Romance Of The Three Kingdoms 13	2016	KOEI
cdg-0223	三國志	BattleField	2002	KOEI
cdg-0224	三國志之牌戰風雲	三国志牌战风云	1994	松詮
cdg-0225	三國志孔明傳		1996	KOEI
cdg-0226	三國志武將爭霸	Sango Fighter	1993	熊貓
cdg-0227	三國志武將爭霸2	Sango Fighter 2	1995	熊貓
cdg-0228	三國志演義：官渡篇		1997	歡樂盒
cdg-0229	三國志英傑傳		1995	KOEI
cdg-0230	三國志英雄傳		2004	SystemSoft
cdg-0231	三國志蜀漢英雄傳		1997	安峻
cdg-0232	三國戰略之十六張麻將		2003	冠捷
cdg-0233	三國演義	The Rising Dynasty|三国演义1加强版	1991	智冠
cdg-0234	三國演義2	The Rising Dynasty 2	1996	智冠
cdg-0235	三國演義3	The Rising Dynasty 3	2000	智冠
cdg-0236	三國立志傳	Three Kingdoms Story	2001	光譜
cdg-0237	三國立志傳2	Three Kingdoms Story 2	2003	光譜
cdg-0238	三國立志傳3	Three Kingdoms Story 3	2005	光譜
cdg-0239	三國群英傳1		1998	奧汀
cdg-0240	三國群英傳2		1999	奧汀
cdg-0241	三國群英傳3		2001	奧汀
cdg-0242	三國群英傳4		2003	奧汀
cdg-0243	三國群英傳5		2005	宇峻奧汀
cdg-0244	三國群英傳6		2006	宇峻奧汀
