# 光譜資訊（T-Time）開發／代理清單
# 來源：掃 content/games/*.md 的 developer=光譜 或 publisher_tw 含光譜（現存 catalog）。
# 用途：保留光譜完整產品足跡（含後 2000、不在 DOS 遊戲收錄範圍內的代理款）。
# 狀態：已 reject／已刪除的光譜款尚未從 git history 全面回掃，日後發現漏的再 append。
# 欄位：id  year  role(dev/pub)  status(active/rejected)  published  title_zh
cdg-0392	2009	pub	active	false	大戰略
cdg-0614	2009	pub	active	false	水之旋律1
cdg-0615	2009	pub	active	false	水之旋律2：緋之記憶
cdg-1429	2009	pub	active	true	秋之回憶 Duet
cdg-0170	2010	pub	active	false	公主奇緣
cdg-1791	2010	pub	active	false	愛麗絲奏鳴曲2：衝擊代碼
cdg-4848	2010	pub	active	true	天下無缺
cdg-4843	2010	pub	active	true	救世英豪4：中古傳奇
cdg-1427	2010	pub	active	true	秋之回憶6：T-wave
cdg-1792	2011	pub	active	false	愛麗絲奏鳴曲3：真相終章
cdg-0043	2011	pub	active	false	A列車9
cdg-4849	2013	dev	active	true	明星英雄大亂鬥
cdg-5091	null	pub	active	true	秦皇陵
cdg-3089	2005	pub	active	false	校園戀愛大戰
