id	title	year	developer	region	publisher_tw	signals
cdg-0170	公主奇緣	2010	工畫堂	JP	光譜	
cdg-0172	公主戰記	1999	AIC	null	華義	
cdg-0174	公元2150	2000	SSI	US		
cdg-0176	公路爭霸戰1：州際風暴	1997	Activision	US		
cdg-0177	公路爭霸戰2	1999	Activision	US		
cdg-0178	公路狂飆	1993	Warped Minds	null		
cdg-0179	北方傳記	1999	1C	null	業訊	
cdg-0189	午夜狂飆	1999	Avanquest	null		
cdg-0203	三界諭2：真愛不死	1998	大點科技	null	第三波	
cdg-0204	三國之星海風雲	1997	Dong Seo Interactive	KR	怡碩	
cdg-0205	三國之星海風雲2	2001	Dong Seo Interactive	KR	怡碩	
cdg-0208	三國封神	2002	樂陞	null	遊戲精靈	
cdg-0209	三國志：風雲再起	1996	KOEI	JP		
cdg-0223	三國志Battlefield	2002	KOEI	JP		
cdg-0228	三國志演義：官渡篇	1997	歡樂盒	TW		
cdg-0252	三國趙雲傳	2002	第三波	TW		
cdg-0258	三國風雲2	2000	華義	TW		
cdg-0272	上古卷軸1：競技場	1994	Bethesda	null		
cdg-0273	上古卷軸2：匕首雨	1996	Bethesda	null		
cdg-0276	上古卷軸：戰鬥神塔	1997	無	null		
cdg-0277	上古卷軸：紅色守衛	1998	Bethesda	null		
cdg-0278	上古文明帝國	1995	Avalon Hill	null	彩虹高	
cdg-0280	上天下地闖通關	1998	正謙	null		
cdg-0284	上帝也抓狂3	2001	Bullfrog	GB		
cdg-0285	上海2000	1999	光譜	TW		
cdg-0288	上海麻將：王朝	1997	Quicksilver	null		
cdg-0289	上海麻將：王朝2	1999	Quicksilver	null		
cdg-0291	中世紀	1998	Incredible Simulations	null		
cdg-0292	中世紀2	2000	Incredible Simulations	null		
cdg-0297	中國棋王之無敵五子棋	1999	新造科技	TW		
cdg-0298	中國棋王之象棋大對決	2000	新造科技	TW		
cdg-0303	中國象棋之四子棋篇	1996	普威爾	TW		
cdg-0304	中國象棋之五子棋篇	1996	普威爾	TW		
cdg-0305	中國象棋之西洋棋篇	1996	普威爾	TW		
cdg-0306	中國象棋之西洋雙陸棋篇	1997	普威爾	TW		
cdg-0307	中國象棋之英式西洋棋篇	1996	普威爾	TW		
cdg-0308	中國象棋之圍棋篇	1996	普威爾	TW		
cdg-0309	中國象棋之象棋篇	1996	普威爾	TW		
cdg-0310	中國象棋之麻將	1995	普威爾	TW		
cdg-0311	中國象棋之黑白棋篇	1996	普威爾	TW		
cdg-0312	中國象棋之橋牌篇	1996	普威爾	TW		
cdg-0313	中國象棋大師	1996	愛嘉	null		
cdg-0314	中國象棋大師	1996	先博多	null		
cdg-0316	中文輸入法練習	1995	Microsoft	null		
cdg-0318	中英文輸入練習高手速成	1994	星僑	null		
cdg-0327	亂世梟雄	2002	大新	null	第三波	
cdg-0328	亂世疑雲	2000	Westka	null	松崗	
