id	title_zh	year	developer	publisher_tw	loc	platform	chiuinan_url
cdg-1765	悅樂之學園	1997	C's ware	歡樂盒	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c22/school.htm
cdg-1841	神探傑克	1997	Toontraxx		localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c21/jack.htm
cdg-1865	禁斷之血族2	1997	C's ware	歡樂盒	localized		https://chiuinan.github.io/game/game/intro/ch/c22/gloria2.htm
cdg-1926	生死之間1	1997	創意鷹翔	新意	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/lod1.htm
cdg-1937	用多媒體學圍棋	1997	上海鵬達	創越	native	Win3.1、WinXP	https://chiuinan.github.io/game/game/intro/ch/c41/godoc.htm
cdg-1949	異星搜奇	1997	Lucas	松崗	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c21/dig.htm
cdg-1957	第六感之戀	1997	Gloria	歡樂盒	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c22/rev.htm
cdg-2032	德川家康	1997	Family Soft	彩虹高科技	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c32/dx5.htm
cdg-2071	終極戰士	1997	安峻	智冠	native	DOS	https://chiuinan.github.io/game/game/intro/ch/c51/mars3d.htm
cdg-2099	絕地風暴1	1997	Beam		localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c32/kknd.htm
cdg-2256	黃金傳奇	1997	Cryo	第三波	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/treasure.htm
cdg-2421	星際爭霸戰：世代	1997	MicroProse		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/rites.htm
cdg-2451	時鐘塔	1997	Human		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/ct.htm
cdg-2456	暗棋三國志	1997	力藝		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/chess3.htm
cdg-2460	暗棋總動員	1997	智冠		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c41/piecez.htm
cdg-2710	霹靂小子	1997	Actual Entertainment	富爾特	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c52/gubble.htm
cdg-2922	銀翼殺手	1997	Westwood	新天地	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/bladerun.htm
cdg-2927	凡爾賽之宮廷疑雲	1997	Cryo	第三波	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c21/versaill.htm
cdg-2936	凶兆	1997	Take-Two	英特衛	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c21/ripper.htm
