source_id	series	guidebook_title	guidebook_url	cdg_id	cdg_title	match	note
twp/pc-031	twp	毛利元就~三箭之誓 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-031	cdg-4561	毛利元就傳	manual	三箭之誓＝毛利元就傳
twp/pc-054	twp	魔法門VI 奉天承運 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-054	cdg-3730	魔法門6：奉天承運	exact	
twp/pc-055	twp	俠客遊之未來之書 王神之道攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-055	cdg-1624	俠客遊：未來之書	manual	
twp/pc-056	twp	三國志VI 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-056	cdg-0215	三國志6	exact	
twp/pc-058	twp	沙丘魔堡2000 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-058	cdg-1176	沙丘魔堡2000	exact	
twp/pc-059	twp	鋼彈司令 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-059	cdg-3582	鋼彈司令1	manual	書名無代數，暫定初代待確認
twp/pc-061	twp	三國志VI 戰術應用集	https://nostalib.simagame.me/guidebooks/twp/pc-061	cdg-0215	三國志6	exact	
twp/pc-062	twp	成吉思汗IV 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-062	cdg-3467	蒼狼與白鹿4：成吉思汗	manual	蒼狼與白鹿4：成吉思汗
twp/pc-065	twp	工人物語Ⅲ 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-065	cdg-0555	工人物語3	exact	
twp/pc-066	twp	柏德之門 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-066	cdg-3086	柏德之門1	manual	
twp/pc-067	twp	織田信長傳 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-067	cdg-4560	織田信長傳	exact	
twp/pc-068	twp	凱撒大帝III 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-068	cdg-2931	凱撒大帝3	exact	
twp/pc-069	twp	笑談三國志	https://nostalib.simagame.me/guidebooks/twp/pc-069			none	泛系列讀物，非單一作品攻略
twp/pc-072	twp	信長之野望 烈風傳～天之卷 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-072	cdg-1643	信長之野望8：烈風傳	manual	烈風傳＝信長之野望8
twp/pc-073	twp	信長之野望 烈風傳～地之卷 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-073	cdg-1643	信長之野望8：烈風傳	manual	烈風傳＝信長之野望8
twp/pc-074	twp	惡靈古堡2 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-074	cdg-1775	惡靈古堡2	exact	
twp/pc-075	twp	魔法門VII 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-075	cdg-3732	魔法門7：血統與榮耀	manual	
twp/pc-076	twp	大航海時代4 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-076	cdg-0422	大航海時代4	exact	
twp/pc-079	twp	終極動員令: 泰伯倫之日 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-079	cdg-2061	終極動員令2：泰伯倫之日	manual	
twp/pc-080	twp	太閤立志傳3 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-080	cdg-0505	太閤立志傳3	exact	
twp/pc-081	twp	萬艦齊發 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-081	cdg-5380	萬艦齊發	manual	
twp/pc-082	twp	波斯王子3D 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-082	cdg-1194	波斯王子3D	exact	
twp/pc-083	twp	三國志Internet 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-083	cdg-5383	三國志Internet	manual	光榮網路對戰版，使用者決定納入
twp/pc-084	twp	世紀帝國2 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-084	cdg-0667	世紀帝國2：帝王世紀	manual	世紀帝國2：帝王世紀
twp/pc-085	twp	明星志願2 圓夢攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-085	cdg-2387	明星志願2	manual	
twp/pc-086	twp	王國興亡錄 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-086	cdg-1413	皇室血裔2	exact	
twp/pc-087	twp	軒轅劍參 完全攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-087	cdg-1884	軒轅劍3：雲和山的彼端	manual	軒轅劍參＝雲和山的彼端
twp/pc-089	twp	創世紀 9: 真神之道攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-089	cdg-2972	創世紀9：羽化昇天	manual	真神之道＝創世紀9 羽化昇天的另一譯名，待確認
twp/pc-090	twp	魔鬼英豪 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-090	cdg-3786	魔鬼英豪	exact	
twp/pc-091	twp	熱舞2000 舞林秘笈	https://nostalib.simagame.me/guidebooks/twp/pc-091	cdg-5378	熱舞2000	manual	
twp/pc-093	twp	洛克人: 鋼鐵之心 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-093	cdg-1216	洛克人DASH：鋼鐵之心	manual	即洛克人DASH 鋼鐵之心（第三波中文版）
twp/pc-094	twp	閻王令 完全攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-094	cdg-3617	閻王令	exact	
twp/pc-095	twp	艾薩克外傳 陽光少年遊 完全攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-095	cdg-3417	艾薩克外傳：陽光少年遊	exact	
twp/pc-096	twp	笑傲江湖 攻略秘笈	https://nostalib.simagame.me/guidebooks/twp/pc-096	cdg-1876	笑傲江湖	manual	初代笑傲江湖（別名撞到日月神教）
twp/pc-098	twp	暗黑破壞神 II: 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-098	cdg-2466	暗黑破壞神2	exact	
twp/pc-099	twp	霹靂奇俠傳 完全攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-099	cdg-2708	霹靂奇俠傳	exact	
twp/pc-100	twp	三國志VII 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-100	cdg-0216	三國志7	exact	
